track_id,artist_id
1,1
2,2
3,1
4,1
5,7
6,2
7,1
8,2
9,8
10,2
11,1
12,1
13,1
14,4
15,5
16,1
17,1
18,1
19,1
20,4
21,4
22,4
23,14
24,3
25,15
26,16
27,12
28,5
29,22
30,1
31,1
32,1
33,1
34,24
35,25
36,27
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,29
46,30
47,11
48,17
49,32
50,33
51,5
52,5
53,5
54,5
55,34
56,18
57,35
58,19
59,36
60,20
61,21
62,38
63,6
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,4
78,4
79,40
80,9
81,9
82,9
83,9
84,23
85,41
86,42
87,43
88,45
89,26
90,50
91,51
92,52
93,53
94,54
95,55
96,56
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,28
113,28
114,57
115,58
116,59
117,60
118,61
119,62
120,63
121,64
122,11
123,11
124,11
125,31
126,31
127,65
128,66
129,67
130,12
131,12
132,68
133,69
134,70
135,71
136,72
137,73
138,17
139,74
140,75
142,77
143,13
144,13
145,13
146,13
147,78
148,79
149,10
150,10
151,10
152,10
153,10
154,10
155,80
156,81
157,82
158,83
159,84
160,85
161,5
162,5
163,5
164,5
165,18
166,86
167,19
168,87
169,88
170,89
171,90
172,91
173,20
174,92
175,93
177,37
178,37
179,95
181,96
182,97
183,6
184,6
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,98
199,99
200,100
201,101
202,102
203,103
204,104
205,105
206,106
207,107
208,108
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,39
258,39
259,109
260,110
261,9
262,9
263,111
264,112
265,113
266,23
267,114
268,115
269,116
270,117
271,118
272,44
273,44
274,119
275,120
276,121
277,122
278,46
279,46
280,123
281,47
282,47
283,48
284,48
285,26
286,124
287,49
288,49
289,125
290,126
291,127
292,128
293,129
294,130
